username,user id,access hash,name,group,group id
EmiliaHikariBot,692882995,6661278042578499863,Emilia,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Divaabril,977119066,4661670149009904118,DivaabrillAllqama,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Dindaamalia22,721391926,-5296819675811479095,Dinda Amalia,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
dompesss,760416550,-1569104810684402855,Dom,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
cryptodaeng,1102307181,-5655952749298607977,CryptoDæng,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Conyol,984757626,-7612831580905930066,Arick Aprilio,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Chinda339,894338097,-1103768851822787300,Cindha,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
Akbar_bby,715678084,-7988807372777759713,Akbar,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
blankusers,935697791,-6812703377693293122,ㅤㅤ   ㅤㅤ,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
BitHargaBot,368324528,2558468747236422957,BitHarga,NEW BERBAGI INFO SEPUTAR 999DICE,1342351683
